2021-03-19 10:52:33.154329{'uuid': '662adeb0-3ad1-4c62-adcd-218330b2e6fb', 'side': 'bid', 'ord_type': 'limit', 'price': '811.0', 'state': 'wait', 'market': 'KRW-CHZ', 'created_at': '2021-03-19T19:52:33+09:00', 'volume': '123.0', 'remaining_volume': '123.0', 'reserved_fee': '49.8765', 'remaining_fee': '49.8765', 'paid_fee': '0.0', 'locked': '99802.8765', 'executed_volume': '0.0', 'trades_count': 0}2021-03-19 12:00:40.067679{'error': {'message': '최소주문금액 이상으로 주문해주세요', 'name': 'under_min_total_bid'}}2021-03-19 12:16:54.682951{'uuid': '082b58bb-b0ee-4a57-9343-6c1a3c514fdd', 'side': 'bid', 'ord_type': 'limit', 'price': '278.0', 'state': 'wait', 'market': 'KRW-CRO', 'created_at': '2021-03-19T21:16:54+09:00', 'volume': '35.0', 'remaining_volume': '35.0', 'reserved_fee': '4.865', 'remaining_fee': '4.865', 'paid_fee': '0.0', 'locked': '9734.865', 'executed_volume': '0.0', 'trades_count': 0}

2021-03-19 12:31:34.004596{'uuid': 'caacd85b-c51b-4efa-9950-05db58cb2cfd', 'side': 'bid', 'ord_type': 'limit', 'price': '811.0', 'state': 'wait', 'market': 'KRW-CHZ', 'created_at': '2021-03-19T21:31:33+09:00', 'volume': '12.33045622', 'remaining_volume': '12.33045622', 'reserved_fee': '4.99999999721', 'remaining_fee': '4.99999999721', 'paid_fee': '0.0', 'locked': '10004.99999441721', 'executed_volume': '0.0', 'trades_count': 0}
2021-03-19 12:48:41.330969{'uuid': 'cac68fd8-d1b9-4dc3-a9da-e5a3af05f594', 'side': 'bid', 'ord_type': 'limit', 'price': '68818000.0', 'state': 'wait', 'market': 'KRW-BTC', 'created_at': '2021-03-19T21:48:41+09:00', 'volume': '0.0014531', 'remaining_volume': '0.0014531', 'reserved_fee': '49.9997179', 'remaining_fee': '49.9997179', 'paid_fee': '0.0', 'locked': '100049.4355179', 'executed_volume': '0.0', 'trades_count': 0}
2021-03-19 14:44:21.712349{'uuid': '98867f85-78fa-4dc9-8433-ae87cf697c0f', 'side': 'bid', 'ord_type': 'limit', 'price': '44.1', 'state': 'wait', 'market': 'KRW-MVL', 'created_at': '2021-03-19T23:44:21+09:00', 'volume': '2272.72727272', 'remaining_volume': '2272.72727272', 'reserved_fee': '50.113636363476', 'remaining_fee': '50.113636363476', 'paid_fee': '0.0', 'locked': '100277.386363315476', 'executed_volume': '0.0', 'trades_count': 0}
2021-03-19 17:01:15.604722{'uuid': '275e6efa-75a8-498d-84a3-fcb192cb03b1', 'side': 'bid', 'ord_type': 'limit', 'price': '25.5', 'state': 'wait', 'market': 'KRW-MBL', 'created_at': '2021-03-20T02:01:15+09:00', 'volume': '4000.0', 'remaining_volume': '4000.0', 'reserved_fee': '51.0', 'remaining_fee': '51.0', 'paid_fee': '0.0', 'locked': '102051.0', 'executed_volume': '0.0', 'trades_count': 0}
2021-03-20 03:08:44.266700{'uuid': 'c66f2d5f-a829-4206-9b52-893028930ef1', 'side': 'bid', 'ord_type': 'limit', 'price': '557.0', 'state': 'wait', 'market': 'KRW-XRP', 'created_at': '2021-03-20T12:08:44+09:00', 'volume': '179.53321364', 'remaining_volume': '179.53321364', 'reserved_fee': '49.99999999874', 'remaining_fee': '49.99999999874', 'paid_fee': '0.0', 'locked': '100049.99999747874', 'executed_volume': '0.0', 'trades_count': 0}
2021-03-20 03:52:47.306259{'uuid': '88b94657-05dd-4ef2-abfc-ebf729e20ae2', 'side': 'bid', 'ord_type': 'limit', 'price': '263.0', 'state': 'wait', 'market': 'KRW-MOC', 'created_at': '2021-03-20T12:52:47+09:00', 'volume': '380.22813688', 'remaining_volume': '380.22813688', 'reserved_fee': '49.99999999972', 'remaining_fee': '49.99999999972', 'paid_fee': '0.0', 'locked': '100049.99999943972', 'executed_volume': '0.0', 'trades_count': 0}
2021-03-20 05:18:22.780550{'uuid': '93d6a15c-ee6b-4f5c-8883-5db73d6fc70b', 'side': 'bid', 'ord_type': 'limit', 'price': '572.0', 'state': 'wait', 'market': 'KRW-HUNT', 'created_at': '2021-03-20T14:18:22+09:00', 'volume': '174.82517482', 'remaining_volume': '174.82517482', 'reserved_fee': '49.99999999852', 'remaining_fee': '49.99999999852', 'paid_fee': '0.0', 'locked': '100049.99999703852', 'executed_volume': '0.0', 'trades_count': 0}
2021-03-20 07:45:46.292443{'uuid': '57115828-6832-4db3-95a2-776fbe30af2f', 'side': 'bid', 'ord_type': 'limit', 'price': '51.9', 'state': 'wait', 'market': 'KRW-MVL', 'created_at': '2021-03-20T16:45:46+09:00', 'volume': '1960.78431372', 'remaining_volume': '1960.78431372', 'reserved_fee': '50.882352941034', 'remaining_fee': '50.882352941034', 'paid_fee': '0.0', 'locked': '101815.588235009034', 'executed_volume': '0.0', 'trades_count': 0}
2021-03-20 09:30:07.837128{'uuid': '2acb3263-f12f-4787-8f8e-f0bfe01ee79a', 'side': 'bid', 'ord_type': 'limit', 'price': '39.4', 'state': 'wait', 'market': 'KRW-IQ', 'created_at': '2021-03-20T18:30:07+09:00', 'volume': '2564.1025641', 'remaining_volume': '2564.1025641', 'reserved_fee': '50.51282051277', 'remaining_fee': '50.51282051277', 'paid_fee': '0.0', 'locked': '101076.15384605277', 'executed_volume': '0.0', 'trades_count': 0}
2021-03-20 10:46:27.172722{'uuid': '386d4d76-bf4d-4943-b3f3-acb216a839de', 'side': 'bid', 'ord_type': 'limit', 'price': '30.6', 'state': 'wait', 'market': 'KRW-MBL', 'created_at': '2021-03-20T19:46:27+09:00', 'volume': '3333.33333333', 'remaining_volume': '3333.33333333', 'reserved_fee': '50.999999999949', 'remaining_fee': '50.999999999949', 'paid_fee': '0.0', 'locked': '102050.999999897949', 'executed_volume': '0.0', 'trades_count': 0}
2021-03-20 12:02:44.949229{'uuid': '515ddb27-b87b-4f5b-afae-6ad5bacadf9c', 'side': 'bid', 'ord_type': 'limit', 'price': '39.6', 'state': 'wait', 'market': 'KRW-CRE', 'created_at': '2021-03-20T21:02:44+09:00', 'volume': '2564.1025641', 'remaining_volume': '2564.1025641', 'reserved_fee': '50.76923076918', 'remaining_fee': '50.76923076918', 'paid_fee': '0.0', 'locked': '101589.23076912918', 'executed_volume': '0.0', 'trades_count': 0}
